EN,HI
PIN,pen
One-time passcode,वन-टाइम पासकोड
DigiCert One Document Signing one-time passcode,डिजिसर्ट वन डॉक्यूमेंट साइनिंग वन-टाइम पासकोड
DigiCert One Document Signing CSC APIs,डिजिसर्ट वन डॉक्यूमेंट साइनिंग सीएससी एपीआई
AATL,एएटीएल
DigiCert ONE,डिजिसर्ट वन
DigiCert,डिजिसर्ट
DigiCon,डिजिकॉन
anticon,ऐंटीकॉन
one-time procurement,वन टाइम प्रोक्यूरमेंट
validation,वैलिडेशन
ReadID,रीडआईडी
Ready,तैयार
Go>Sign Mobile,गो>साइन मोबाइल
Verify,वेरिफ़ाई
IDnow AutoIdent,आईडीनाउ ऑटोआईडेंट
Ident-ID,आईडेंट-आईडी
NFC,एनएफसी
DE,डीई
CH,सीएच
QuoVadis,क्वोवाडिस
DigiCert,डिजिसर्ट
CA,सीए
CP/CPS,सीपी/सीपीएस
CA3,सीए3
QWAC,क्यूडब्ल्यूएसी
TOTP,टीओटीपी
2FA,2एफए
Go>Sign,गो>साइन